2012;1;2;3345
2012;1;3;3340
2012;1;4;3350
2012;1;5;3267
2012;1;6;3329
2012;1;7;3299
2012;1;8;3293
2012;1;9;3258
2012;1;10;3276
2012;2;1;3359
2012;2;2;3236
2012;2;3;3401
2012;2;4;3376
2012;2;5;3313
2012;2;6;3225
2012;2;7;3413
2012;2;8;3298
2012;2;9;3304
2012;2;10;3327
2012;3;1;3243
2012;3;2;3318
2012;3;3;3317
2012;3;4;3314
2012;3;5;3393
2012;3;6;3299
2012;3;7;3435
2012;3;8;3445
2012;3;9;3379
2012;3;10;3382
2012;4;1;3280
2012;4;2;3301
2012;4;3;3342
2012;4;4;3371
2012;4;5;3369
2012;4;6;3388
2012;4;7;3282
2012;4;8;3295
2012;4;9;3426
2012;4;10;3372
2012;5;1;3268
2012;5;2;3342
2012;5;3;3299
2012;5;4;3277
2012;5;5;3309
2012;5;6;3352
2012;5;7;3351
2012;5;8;3269
2012;5;9;3402
2012;5;10;3304
2012;6;1;3336
2012;6;2;3285
2012;6;3;3388
2012;6;4;3233
2012;6;5;3366
2012;6;6;3304
2012;6;7;3416
2012;6;8;3290
2012;6;9;3324
2012;6;10;3287
2012;7;1;3344
2012;7;2;3380
2012;7;3;3367
2012;7;4;3306
2012;7;5;3215
2012;7;6;3316
2012;7;7;3345
2012;7;8;3352
2012;7;9;3228
2012;7;10;3289
2012;8;1;3332
2012;8;2;3377
2012;8;3;3214
2012;8;4;3418
2012;8;5;3360
2012;8;6;3403
2012;8;7;3327
2012;8;8;3336
2012;8;9;3278
2012;8;10;3219
2012;9;1;3241
2012;9;2;3330
2012;9;3;3302
2012;9;4;3371
2012;9;5;3326
2012;9;6;3313
2012;9;7;3281
2012;9;8;3368
2012;9;9;3437
2012;9;10;3364
2012;10;1;3297
2012;10;2;3278
2012;10;3;3265
2012;10;4;3319
2012;10;5;3347
2012;10;6;3322
2012;10;7;3298
2012;10;8;3319
2012;10;9;3411
2012;10;10;3399
2012;11;1;3319
2012;11;2;3333
2012;11;3;3300
2012;11;4;3334
2012;11;5;3389
2012;11;6;3288
2012;11;7;3380
2012;11;8;3306
2012;11;9;3330
2012;11;10;3245
2012;12;1;3253
2012;12;2;3359
2012;12;3;3418
2012;12;4;3274
2012;12;5;3349
2012;12;6;3350
2012;12;7;3358
2012;12;8;3326
2012;12;9;3251
2012;12;10;3320
2012;13;1;3374
2012;13;2;3353
2012;13;3;3479
2012;13;4;3270
2012;13;5;3333
2012;13;6;3235
2012;13;7;3336
2012;13;8;3253
2012;13;9;3263
2012;13;10;3379
2012;14;1;3379
2012;14;2;3434
2012;14;3;3265
2012;14;4;3438
2012;14;5;3336
2012;14;6;3380
2012;14;7;3364
